bpmnElementType,bpmnProcessId,completed,created,duration,elementId,endPosition,ended,flowScopeKey,key,partition,startPosition,version,workflowInstanceKey,workflowKey
SERVICE_TASK,process,true,1551053976788,4684,ServiceTask_0kt6c5i,4295591136,1551053981472,53,56,0,4295011448,1,53,1
END_EVENT,process,true,1551053981473,1,EndEvent_0crvjrk,4295593464,1551053981474,48,909,0,4295591928,1,48,1
END_EVENT,process,true,1551053981473,1,EndEvent_0crvjrk,4295593720,1551053981474,53,910,0,4295592184,1,53,1
PROCESS,process,true,1551053976765,4709,process,4295594472,1551053981474,-1,48,0,4295006536,1,48,1
PROCESS,process,true,1551053976783,4691,process,4295594720,1551053981474,-1,53,0,4295009704,1,53,1
SERVICE_TASK,process,true,1551053976814,4671,ServiceTask_0kt6c5i,4295597920,1551053981485,63,66,0,4295017784,1,63,1
SERVICE_TASK,process,true,1551053976801,4685,ServiceTask_0kt6c5i,4295598528,1551053981486,58,61,0,4295014616,1,58,1
SERVICE_TASK,process,true,1551053976821,4665,ServiceTask_0kt6c5i,4295599368,1551053981486,68,71,0,4295020952,1,68,1
SERVICE_TASK,process,true,1551053976841,4646,ServiceTask_0kt6c5i,4295601624,1551053981487,73,76,0,4295024344,1,73,1
SERVICE_TASK,process,true,1551053976844,4644,ServiceTask_0kt6c5i,4295603688,1551053981488,77,81,0,4295027288,1,77,1
SERVICE_TASK,process,true,1551053976863,4625,ServiceTask_0kt6c5i,4295603952,1551053981488,83,86,0,4295030456,1,83,1
END_EVENT,process,true,1551053981487,1,EndEvent_0crvjrk,4295606024,1551053981488,63,914,0,4295601368,1,63,1
END_EVENT,process,true,1551053981487,3,EndEvent_0crvjrk,4295606536,1551053981490,58,915,0,4295601888,1,58,1
END_EVENT,process,true,1551053981487,3,EndEvent_0crvjrk,4295607304,1551053981490,68,916,0,4295602656,1,68,1
PROCESS,process,true,1551053976806,4685,process,4295609360,1551053981491,-1,63,0,4295016040,1,63,1
END_EVENT,process,true,1551053981488,3,EndEvent_0crvjrk,4295609608,1551053981491,73,918,0,4295604728,1,73,1
PROCESS,process,true,1551053976796,4695,process,4295610208,1551053981491,-1,58,0,4295012872,1,58,1
PROCESS,process,true,1551053976818,4674,process,4295611256,1551053981492,-1,68,0,4295019208,1,68,1
END_EVENT,process,true,1551053981490,2,EndEvent_0crvjrk,4295612640,1551053981492,77,921,0,4295606792,1,77,1
END_EVENT,process,true,1551053981490,4,EndEvent_0crvjrk,4295612896,1551053981494,83,922,0,4295607048,1,83,1
PROCESS,process,true,1551053976832,4662,process,4295613152,1551053981494,-1,73,0,4295022376,1,73,1
SERVICE_TASK,process,true,1551053976870,4625,ServiceTask_0kt6c5i,4295613400,1551053981495,88,91,0,4295033624,1,88,1
SERVICE_TASK,process,true,1551053976878,4618,ServiceTask_0kt6c5i,4295615856,1551053981496,93,96,0,4295036792,1,93,1
PROCESS,process,true,1551053976841,4656,process,4295616464,1551053981497,-1,77,0,4295024608,1,77,1
PROCESS,process,true,1551053976860,4637,process,4295616712,1551053981497,-1,83,0,4295028712,1,83,1
SERVICE_TASK,process,true,1551053976884,4612,ServiceTask_0kt6c5i,4295617216,1551053981496,98,101,0,4295039960,1,98,1
SERVICE_TASK,process,true,1551053976896,4602,ServiceTask_0kt6c5i,4295619376,1551053981498,103,106,0,4295043128,1,103,1
SERVICE_TASK,process,true,1551053976903,4596,ServiceTask_0kt6c5i,4295620152,1551053981499,108,111,0,4295046296,1,108,1
END_EVENT,process,true,1551053981496,4,EndEvent_0crvjrk,4295620936,1551053981500,88,924,0,4295616960,1,88,1
END_EVENT,process,true,1551053981499,4,EndEvent_0crvjrk,4295636616,1551053981503,93,927,0,4295619120,1,93,1
PROCESS,process,true,1551053976867,4636,process,4295637128,1551053981503,-1,88,0,4295031880,1,88,1
END_EVENT,process,true,1551053981499,4,EndEvent_0crvjrk,4295637376,1551053981503,98,928,0,4295619896,1,98,1
PROCESS,process,true,1551053976874,4632,process,4295640384,1551053981506,-1,93,0,4295035048,1,93,1
END_EVENT,process,true,1551053981500,6,EndEvent_0crvjrk,4295640632,1551053981506,103,931,0,4295622144,1,103,1
PROCESS,process,true,1551053976881,4625,process,4295640888,1551053981506,-1,98,0,4295038216,1,98,1
SERVICE_TASK,process,true,1551053976910,4596,ServiceTask_0kt6c5i,4295641136,1551053981506,113,116,0,4295049464,1,113,1
